USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
0;1;4;3;45;105;0.6253968477249146;0.34782608350118;0.29679850737253827;22.982;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[1@4, V1] :~ value(pesce,V1).[V1@3, V1] :~ value(carne,V1).[-V1@2, V1] 
1;1;4;3;45;105;0.5492063363393148;0.21510672569274902;0.20637945334116617;28.055;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
2;1;4;3;45;105;0.714285691579183;0.3837012052536011;0.36866358915964764;29.367;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(farinacei,V1).[V1@4, V1] :~ value(verdure_e_ortaggi,V1).[-1@3, V1] 
3;1;4;3;45;105;0.6317460139592489;0.3126112222671509;0.3094017108281453;25.421;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(farinacei,V1).[V1@3, V1] :~ value(pesce,V1).[V1@2, V1] :~ category(1).[-1@4] 
4;1;4;3;45;105;0.7904761632283529;0.46586044629414874;0.4615955352783203;28.093;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(forno,V1).[1@3, V1] :~ value(pesce,V1).[1@2, V1] :~ category(1).[-1@4] 
5;1;4;3;45;105;0.6952381134033203;0.4735042651494344;0.3593939443429311;34.817;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ category(4).[1@2] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
6;1;4;3;45;105;0.644444465637207;0.303794264793396;0.29060471057891846;29.044;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] :~ category(1).[1@3] 
7;1;4;3;45;105;0.5999999841054281;0.3160421848297119;0.42664142449696857;28.724;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(farinacei,V1).[-V1@3, V1] :~ category(1).[1@4] 
8;1;4;3;45;105;0.7015873591105143;0.3867808977762858;0.378205140431722;36.435;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1] :~ value(pesce,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[V1@4, V1] 
9;1;4;3;45;105;0.6380952199300131;0.31318187713623047;0.30716049671173096;38.576;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ value(farinacei,V1).[-1@3, V1] :~ value(pesce,V1).[-1@4, V1] 
10;1;4;3;45;105;0.7777778307596842;0.446127971013387;0.44562840461730957;28.584;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1] :~ value(carne,V1).[V1@3, V1] :~ category(3).[-1@4] 
11;1;4;3;45;105;0.6634921232859293;0.33990971247355145;0.3333333333333333;34.576;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ value(farinacei,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[1@3, V1] 
12;1;4;3;45;105;0.6634920438130697;0.41309523582458496;0.42587868372599286;27.653;:~ value(pesce,V1).[-V1@4, V1] :~ value(forno,V1).[-1@1, V1] :~ category(4).[-1@2] 
13;1;4;3;45;105;0.7142857710520426;0.39368685086568195;0.3965608278910319;40.434;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1] :~ category(4).[1@4] :~ value(verdure_e_ortaggi,V1).[1@3, V1] :~ category(3).[1@1] 
14;1;4;3;45;105;0.7079365253448486;0.3683900435765584;0.3588798940181732;16.671;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1] :~ value(pesce,V1).[1@4, V1] :~ value(farinacei,V1).[-V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] 
